Country_ISO,Year,DeathRate,Population (GPWv4.11),CO Population-Weighted (ppm),VOCs Population-Weighted (ppm),SO2 Population-Weighted (ppm),NOx Population-Weighted (ppm),O3 Population-Weighted (ppm),PM Pop.-Weighted (kg m^-3),HospitalBeds
SLE,2018,99.59,6254681.32,0.268831288,0.063559578,0.001600497,0.004363578,0.0512185362135107,4.93692e-08,
GIN,2018,100.7,13468721.71,0.265496572,0.075247076,0.00207635,0.00486941,0.0500226381651389,4.56859e-08,0.3
CAF,2018,103.6,5217309.81,0.343126422,0.298347055,0.001055248,0.004224527,0.0365379233166061,3.31248e-08,1.0
LSO,2018,104.4,2168672.44,0.189268223,0.0306827,0.023859821,0.017730597,0.0519240836526349,1.17262e-08,
TCD,2018,104.4,15415574.37,0.184662969,0.107294731,0.000605832,0.003379642,0.047605978127042,4.27968e-08,0.45499999999999996
EGY,2018,104.7,95348889.64,0.342315141,0.014305325,0.047089037,0.037408974,0.0645564677550749,5.85471e-08,1.24
CMR,2018,105.6,24924316.11,0.259864268,0.077657178,0.004744485,0.003938647,0.0458276286787577,3.96697e-08,2.65
YEM,2018,108.4,28309541.54,0.191056037,0.031989894,0.017378606,0.013308272,0.0617612909282802,3.86084e-08,0.5700000000000001
NZL,2018,11.17,4193522.06,0.060665868,0.007462237,0.005634888,0.00269864,0.048008624024577,5.33704e-09,2.59
FRA,2018,10.68,65568976.42,0.154719353,0.006145503,0.002751302,0.014477434,0.0547233753525702,1.25645e-08,6.04
ESP,2018,10.88,44055610.46,0.132293844,0.011107179,0.006186342,0.011296223,0.0595549601732858,9.78626e-09,2.95
PRT,2018,11.22,9096662.0,0.124611513,0.009998845,0.006117755,0.011669052,0.0588881183555556,9.08325e-09,3.43
OMN,2018,110.6,4798700.0,0.17038703,0.017978684,0.014574053,0.014716306,0.068959347179406,5.22491e-08,1.09
PAK,2018,112.9,198421573.05,0.757198264,0.0399266189999999,0.035850533,0.036119982,0.0613948657685005,1.10372e-07,0.5
BHS,2018,12.26,283583.34,0.084062421,0.00148303,0.001464431,0.000784216,0.0633926069789191,1.04384e-08,2.78
CHE,2018,11.53,8462316.01,0.161905722,0.008998993,0.001577295,0.015381817,0.0534890923212327,1.15701e-08,4.63
JPN,2018,12.35,121226734.76,0.168767319,0.01131571,0.010445641,0.019850744,0.06063050360881,1.71733e-08,12.93
AZE,2018,120.3,9893941.03,0.138202616,0.012580329,0.007452307,0.005342729,0.0566126145574554,1.73726e-08,3.95
MNG,2018,120.4,3093449.96,0.125083581,0.005701645,0.012885699,0.006025691,0.0587439228508843,1.22663e-08,7.86
UZB,2018,124.4,30452625.88,0.164726411,0.013773064,0.011904155,0.026049378,0.0539310759501095,3.0865e-08,4.74
IRL,2018,13.49,4630506.64,0.114049097,0.001740667,0.002659773,0.005483507,0.0608504813820065,7.78233e-09,2.97
