Country_ISO,Year,DeathRate,Population (GPWv4.11),CO Population-Weighted (ppm),VOCs Population-Weighted (ppm),SO2 Population-Weighted (ppm),NOx Population-Weighted (ppm),O3 Population-Weighted (ppm),PM Pop.-Weighted (kg m^-3),HospitalBeds
SLE,2018,99.59,15.648840912423921,0.23809623111521255,0.06162137477546757,0.001599217569644205,0.004354085198553592,0.0512185362135107,4.936919878134109e-08,
GIN,2018,100.7,16.41588071909455,0.23546459218862612,0.07255047331042222,0.0020741973645734485,0.004857592769559627,0.0500226381651389,4.56858989563993e-08,0.262364264467491
CAF,2018,103.6,15.467492656614823,0.29500004713906575,0.2610919592765459,0.0010546916172093988,0.004215628737643568,0.0365379233166061,3.3124799451373825e-08,0.6931471805599453
LSO,2018,104.4,14.589626220613274,0.17333817931565218,0.030221398210324404,0.023579623691850675,0.017575243615927726,0.0519240836526349,1.1726199931248117e-08,
TCD,2018,104.4,16.550888943938283,0.1694583197876723,0.10191986128921886,0.0006056485578802196,0.0033739438448496108,0.047605978127042,4.279679908421698e-08,0.3750059006234558
EGY,2018,104.7,18.373053255333687,0.29439584034055727,0.014203969312089516,0.046013968387307425,0.03672623337008233,0.0645564677550749,5.854709828611861e-08,0.8064758658669485
CMR,2018,105.6,17.031354475643468,0.23100399135123653,0.07478940521118391,0.004733265404515291,0.00393091083659593,0.0458276286787577,3.966969921315747e-08,1.2947271675944
YEM,2018,108.4,17.15870949800309,0.1748403396441625,0.031488874375763906,0.017229325074562925,0.013220494865242727,0.0617612909282802,3.860839925469574e-08,0.45107561936021673
NZL,2018,11.17,15.249051764378011,0.05889688826165825,0.007434532250381479,0.005619071407282505,0.0026950052089350783,0.048008624024577,5.337039985758002e-09,1.2781522025001875
FRA,2018,10.68,17.99861323687647,0.14385733003267642,0.006126696407753781,0.0027475240965016117,0.014373636566653239,0.0547233753525702,1.256449992106667e-08,1.951608170169951
ESP,2018,10.88,17.600963290655493,0.12424552560136091,0.011045947277924278,0.006167285140777193,0.011232897122217107,0.0595549601732858,9.786259952114557e-09,1.3737155789130306
PRT,2018,11.22,16.02341820093828,0.1174376542413108,0.009949187288157775,0.006099117511313226,0.011601493665942902,0.0588881183555556,9.083249958747285e-09,1.4883995840570443
OMN,2018,110.6,15.383855814252566,0.1573344889808988,0.017818978812837876,0.014468872198367918,0.014609071948100244,0.068959347179406,5.224909863501582e-08,0.7371640659767197
PAK,2018,112.9,19.105904487074632,0.5637206451836477,0.03915015201005614,0.03522286026289382,0.03548294987282627,0.0613948657685005,1.1037199390901127e-07,0.4054651081081644
BHS,2018,12.26,12.555264853497734,0.08071548530790204,0.0014819313970495095,0.001463359766627163,0.0007839086633010802,0.0633926069789191,1.0438399945519904e-08,1.3297240096314962
CHE,2018,11.53,15.951133572335195,0.1500615208868672,0.008958743353134438,0.0015760523767255352,0.015264716142142217,0.0534890923212327,1.1570099933066394e-08,1.728109442151599
JPN,2018,12.35,18.61317319935184,0.1559496199066903,0.011252166265924471,0.010391462253274579,0.019656287177222103,0.06063050360881,1.7173299852538887e-08,2.6340447877917144
AZE,2018,120.3,16.107433211646097,0.12945036555008604,0.012501854135471908,0.00742467575296361,0.005328507256209191,0.0566126145574554,1.7372599849096386e-08,1.599387576580599
MNG,2018,120.4,14.944797841233378,0.11785732711892664,0.005685452143603088,0.0128033847443217,0.006007609124823923,0.0587439228508843,1.2266299924768943e-08,2.1815467646169897
UZB,2018,124.4,17.231682817036365,0.1524862190950049,0.013679077360074992,0.011833857882117098,0.02571587229617807,0.0539310759501095,3.08649995236759e-08,1.747459210331475
IRL,2018,13.49,15.348177061520913,0.10800121324487041,0.001739153794933824,0.0026562420634016846,0.005468527311358305,0.0608504813820065,7.782329969717671e-09,1.3787660946990992
