Country_ISO,Year,Population (GPWv4.11),CO Population-Weighted (ppm),VOCs Population-Weighted (ppm),SO2 Population-Weighted (ppm),NOx Population-Weighted (ppm),O3 Population-Weighted (ppm),PM Pop.-Weighted (kg m^-3),HospitalBeds,mortality_cluster
SLE,2018,15.64884091242392,0.2380962311152125,0.0616213747754675,0.0015992175696442,0.0043540851985535,0.0512185362135107,4.9369198781341096e-08,0.7701082216960736,2
GIN,2018,16.41588071909455,0.2354645921886261,0.0725504733104222,0.0020741973645734,0.0048575927695596,0.0500226381651389,4.56858989563993e-08,0.262364264467491,2
CAF,2018,15.467492656614825,0.2950000471390657,0.2610919592765459,0.0010546916172093,0.0042156287376435,0.0365379233166061,3.3124799451373825e-08,0.6931471805599453,2
LSO,2018,14.589626220613274,0.1733381793156521,0.0302213982103244,0.0235796236918506,0.0175752436159277,0.0519240836526349,1.1726199931248117e-08,0.7701082216960736,2
TCD,2018,16.550888943938283,0.1694583197876723,0.1019198612892188,0.0006056485578802,0.0033739438448496,0.047605978127042,4.279679908421699e-08,0.3750059006234558,2
EGY,2018,18.373053255333687,0.2943958403405572,0.0142039693120895,0.0460139683873074,0.0367262333700823,0.0645564677550749,5.854709828611862e-08,0.8064758658669485,2
CMR,2018,17.031354475643468,0.2310039913512365,0.0747894052111839,0.0047332654045152,0.0039309108365959,0.0458276286787577,3.966969921315747e-08,1.2947271675944,2
YEM,2018,17.15870949800309,0.1748403396441625,0.0314888743757639,0.0172293250745629,0.0132204948652427,0.0617612909282802,3.860839925469574e-08,0.4510756193602167,2
NZL,2018,15.249051764378011,0.0588968882616582,0.0074345322503814,0.0056190714072825,0.002695005208935,0.048008624024577,5.337039985758002e-09,1.2781522025001877,0
FRA,2018,17.99861323687647,0.1438573300326764,0.0061266964077537,0.0027475240965016,0.0143736365666532,0.0547233753525702,1.256449992106667e-08,1.951608170169951,0
ESP,2018,17.600963290655493,0.1242455256013609,0.0110459472779242,0.0061672851407771,0.0112328971222171,0.0595549601732858,9.786259952114557e-09,1.3737155789130306,0
PRT,2018,16.02341820093828,0.1174376542413108,0.0099491872881577,0.0060991175113132,0.0116014936659429,0.0588881183555556,9.083249958747285e-09,1.4883995840570443,0
OMN,2018,15.383855814252566,0.1573344889808988,0.0178189788128378,0.0144688721983679,0.0146090719481002,0.068959347179406,5.224909863501582e-08,0.7371640659767197,2
PAK,2018,19.105904487074632,0.5637206451836477,0.0391501520100561,0.0352228602628938,0.0354829498728262,0.0613948657685005,1.1037199390901129e-07,0.4054651081081644,2
BHS,2018,12.555264853497734,0.080715485307902,0.0014819313970495,0.0014633597666271,0.000783908663301,0.0633926069789191,1.0438399945519904e-08,1.3297240096314962,0
CHE,2018,15.951133572335197,0.1500615208868672,0.0089587433531344,0.0015760523767255,0.0152647161421422,0.0534890923212327,1.1570099933066394e-08,1.728109442151599,0
JPN,2018,18.61317319935184,0.1559496199066903,0.0112521662659244,0.0103914622532745,0.0196562871772221,0.06063050360881,1.7173299852538887e-08,2.6340447877917144,0
AZE,2018,16.107433211646097,0.129450365550086,0.0125018541354719,0.0074246757529636,0.0053285072562091,0.0566126145574554,1.7372599849096386e-08,1.599387576580599,3
MNG,2018,14.944797841233378,0.1178573271189266,0.005685452143603,0.0128033847443217,0.0060076091248239,0.0587439228508843,1.2266299924768944e-08,2.1815467646169897,3
UZB,2018,17.231682817036365,0.1524862190950049,0.0136790773600749,0.011833857882117,0.025715872296178,0.0539310759501095,3.08649995236759e-08,1.747459210331475,3
IRL,2018,15.348177061520913,0.1080012132448704,0.0017391537949338,0.0026562420634016,0.0054685273113583,0.0608504813820065,7.782329969717671e-09,1.3787660946990992,0
LUX,2018,13.317606802752625,0.1552701135988372,0.0058344892172153,0.0020834560972526,0.0185729224994543,0.0509878119371906,1.3266799911996011e-08,1.706564623164823,0
NLD,2018,16.63725325556712,0.1368566766094058,0.0033520316593106,0.002450021245362,0.019260840360061,0.0525673121172349,1.1335999935747553e-08,1.423108334242607,0
DNK,2018,15.463085386840731,0.1231749920086869,0.0019670510858735,0.0019041160199311,0.009914945078584,0.0573101109865414,8.356029965088382e-09,1.2837077723447896,0
GBR,2018,17.964898509744053,0.1290867112713662,0.0031061758370527,0.0049946101427726,0.0211100075961127,0.0404531028202377,9.987149950128416e-09,1.247032293786383,0
ISR,2018,15.924560177370626,0.3096995033469688,0.0129527290425261,0.0881728486368861,0.053088718798104,0.0591738037688228,5.034029873292714e-08,1.410986973710262,0
EST,2018,14.002347870037102,0.1373657912880068,0.0031835012782287,0.0085048589390455,0.0095115355867036,0.05544370638378,9.319449956573926e-09,1.7101878155342434,0
AFG,2018,17.364794739525365,0.1683067684962793,0.0144559494504654,0.002260907221997,0.003886974915709,0.0593662165082749,2.7943599609577617e-08,0.3364722366212129,3
USA,2018,19.60427269594084,0.1543967124159015,0.0174204667131242,0.0100579755543188,0.0171825056164182,0.0477100599059891,1.3026499915155147e-08,1.324418957401803,0
CYP,2018,13.925790502365755,0.1170109741380206,0.0110176155576159,0.0079416792189434,0.0028538120020734,0.0705388319730666,1.5149899885240272e-08,1.1568811967920856,0
ITA,2018,17.868916786086434,0.167819511956632,0.011359740139416,0.0043660867564861,0.0198677967412327,0.0573235111137285,1.647429986429872e-08,1.423108334242607,0
URY,2018,15.010774974106878,0.0822177052658789,0.0136133672016924,0.0014578558116205,0.0033512094197689,0.0475419264794198,6.792069976933892e-09,1.2584609896100056,0
BEL,2018,16.26571711750193,0.1539154327302582,0.0038707589374783,0.0043039377579735,0.0233638316152453,0.050271951777424,1.4158099899774104e-08,1.890095369948917,0
CRI,2018,15.40783941565632,0.1148414253600248,0.0342256102963476,0.0039428288245492,0.0085105959221415,0.0485190059506622,1.3801799904755158e-08,0.7514160886839212,0
TJK,2018,16.028836990718194,0.1612408016903115,0.0175514354603034,0.0086992099137995,0.0090579823335793,0.0562226987954905,2.6588699646520526e-08,1.6752256529721037,3
PAN,2018,15.199839010451472,0.1158443006346823,0.0212707843201484,0.0020251899178467,0.0057350898878095,0.0539231268624845,1.682899985839238e-08,1.085189268335969,0
DEU,2018,18.202673053746317,0.1470252967576806,0.005347771147915,0.002901169534958,0.0190622611359164,0.053452858126043,1.2171199925930944e-08,2.190535589185423,0
BRN,2018,12.875546639333615,0.2208718962585358,0.1093489086339289,0.0030588788562324,0.0069920654382352,0.0507641928025364,1.876449982394677e-08,1.4861396960896067,0
BRB,2018,12.315404873486372,0.0734696412496073,0.0008624090184167,0.0004355891172843,0.0003317299715282,0.0561886180549533,1.825819983331907e-08,1.9501867058225733,0
CHL,2018,16.71374098105743,0.3336715727064532,0.0236573188098809,0.0600531333715464,0.026997060674941,0.0529587815082788,3.492619939008029e-08,1.1151415906193205,0
ATG,2018,11.211642248215066,0.0732989280372016,0.0011398641080015,0.0019937771048432,0.0003872310163916,0.0582845175801998,1.4882599889254111e-08,1.495522388304206,0
AUT,2018,15.978241070192356,0.1554783569309705,0.0086545173920022,0.0027527008402798,0.0163905726566158,0.0532854036609869,1.3992199902109171e-08,2.1126345090356,0
KOR,2018,17.67410340817469,0.4291623031584186,0.0331256635189648,0.0717850362975474,0.0681520342156852,0.0586492959140346,7.776579697624033e-08,2.5974910105351463,0
LCA,2018,11.977953423571966,0.0737679458513303,0.0013393057295529,0.0008746583748163,0.0004608477933412,0.0565635174228697,1.7239599851398097e-08,0.8576017355254755,0
